id,name,2019,2020,2021,2022,2023,2024
903dbacc-a32a-4d22-bc56-585899808cfc,Europejska Wyższa Szkoła Prawa i Administracji w Warszawie,678,758,823,802,735,770
d5f072fd-5060-4d4e-84cd-e0313f85459f,Akademia Leona Koźmińskiego w Warszawie,7082,7161,7135,7237,7532,7567
548bd80f-e4fa-42e5-bd11-1abfb1869bb4,Wyższa Szkoła Nauk o Zdrowiu w Bydgoszczy,495,1028,1802,3237,4455,4693
7b0ab8cc-4a9c-4409-a081-852409a0c9eb,Uczelnia Techniczno-Handlowa im. Heleny Chodkowskiej,5257,5707,5911,5792,5678,5583
97dcd550-6ade-4c63-b25a-85d4ae76c1ba,Świętokrzyska Szkoła Wyższa w Kielcach im. św. Jana Pawła II,32,42,48,42,40,48
0b80a072-b734-4cd9-bf5b-6c8708b7c2f2,Uniwersytet Komisji Edukacji Narodowej w Krakowie,11501,12502,14070,15594,17187,18946
9eec5244-9085-4de9-9ad9-a77b7ad693bc,Uniwersytet im. Adama Mickiewicza w Poznaniu,33582,35032,30376,29861,28988,28715
bb997d12-0740-433b-bba7-9f44c66a36cd,Wyższa Szkoła Medyczna z siedzibą w Białymstoku,769,781,1016,1081,1116,1207
70161bb7-629d-46ab-9c91-cc91851ed886,Uniwersytet Przyrodniczy we Wrocławiu,8076,7710,7238,6639,6500,6453
70a94e95-4e7a-4069-a6fd-3a65eae3af10,Tarnowska Szkoła Wyższa Akademia Nauk Stosowanych,437,489,550,551,489,432
2461f400-e975-4b6e-9875-697c67e370d1,Uczelnia ASBIRO,84,167,282,265,304,309
f9469b78-28ba-4ae7-a8a7-75deeebf53b7,Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,863,862,852,819,805,768
6fc3859a-c979-4e11-a81a-6d1df51e8be9,Wyższa Szkoła Biznesu - National Louis University z siedzibą w Nowym Sączu,1337,2107,3205,5377,7359,9308
41ade527-eee8-4133-87f6-f9acbecc3acf,Uniwersytet Zielonogórski w Zielonej Górze,9682,9463,9021,8701,8657,9261
984840dc-841b-4a34-b1af-013f01ecf1b2,Wyższa Szkoła Języków Obcych im. Samuela Bogumiła Lindego z siedzibą w Poznaniu,1111,1182,1231,1386,1318,1223
f777aeec-b7b2-40ec-9216-c102bdb5e549,Akademia Nauk Stosowanych im. ks. Jerzego Popiełuszki w Grudziądzu,238,287,356,424,731,823
aae4db64-d06d-40af-803f-73d03d127a35,Wyższa Szkoła Inżynieryjno-Ekonomiczna z siedzibą w Rzeszowie w likwidacji,109,87,63,6,,
